node_id,goal_id,heuristic_value,true_remaining_cost,delta,admissible
4916577972,5564620678,50673.63726724766,93653.33642949964,-42979.699162251985,True
5610454924,5564620678,40231.07668405929,76479.48151550183,-36248.40483144254,True
10763336950,5564620678,25909.25842854118,46810.778966079044,-20901.520537537865,True
9450110306,5564620678,28056.879623158766,49783.70150635461,-21726.821883195847,True
7876446282,5564620678,41784.698871647895,81605.36819999301,-39820.66932834512,True
5650936616,5564620678,42370.78213273496,85206.52654108602,-42835.744408351056,True
9520401334,5564620678,21872.09420315073,46312.88350683319,-24440.78930368246,True
10112897019,5564620678,47516.99773302042,78064.56948503565,-30547.571752015232,True
7251732704,5564620678,17396.187017318294,35235.61781204119,-17839.4307947229,True
6639116102,5564620678,95297.89569718704,150312.1030909232,-55014.20739373616,True
11409244834,5564620678,34910.07905014475,63742.23260559298,-28832.153555448233,True
4277725783,5564620678,31233.475118271977,52893.15479651845,-21659.679678246473,True
4439386698,5564620678,29352.119884692496,56660.19480790827,-27308.074923215776,True
5636435239,5564620678,23561.566634149778,51217.25811773524,-27655.691483585462,True
4414576591,5564620678,32285.36274194713,55943.59691706094,-23658.23417511381,True
3516752072,5564620678,57406.3079085972,96119.31067002694,-38713.00276142974,True
6656703335,5564620678,42272.2292919427,97984.89700299817,-55712.667711055474,True
7876446783,5564620678,44481.51989765324,86709.8944063646,-42228.374508711364,True
13020805316,5564620678,91079.75944095921,211850.40023032075,-120770.64078936154,True
4588410139,5564620678,46794.17183356615,66180.33466114012,-19386.16282757397,True
410243290,5564620678,134855.31226565316,350317.35492429393,-215462.04265864077,True
9894521707,5564620678,29577.724414912907,50287.455568966565,-20709.731154053658,True
4929774339,5564620678,22909.14442865716,41952.81330760999,-19043.66887895283,True
4923880109,5564620678,24095.494031783914,43837.94529648643,-19742.45126470252,True
5638893743,5564620678,32542.730357938115,61852.81788874074,-29310.087530802626,True
5456476285,5564620678,44425.46950673142,71125.8175700909,-26700.348063359488,True
13041678668,5564620678,30398.47761332235,48987.8286887737,-18589.351075451348,True
5007281316,5564620678,50638.35904683401,95481.15311777711,-44842.7940709431,True
9162197393,5564620678,86963.53395964977,147246.22276727686,-60282.6888076271,True
4772563985,5564620678,82652.50538620075,156174.64453833288,-73522.13915213213,True
7858280088,5564620678,60037.59672168522,121386.90124330041,-61349.30452161519,True
11048981447,5564620678,42734.5989187784,68886.33974760208,-26151.740828823677,True
5603875971,5564620678,29388.333059623616,57053.83076909558,-27665.49770947196,True
7858288101,5564620678,54435.2090731533,110105.62887880013,-55670.41980564682,True
12628914015,5564620678,39632.78268408882,91551.86356391034,-51919.08087982152,True
11505333081,5564620678,44540.95624319968,76094.20490160066,-31553.248658400982,True
11530194318,5564620678,25116.844145479598,53420.04532497929,-28303.201179499694,True
5007270876,5564620678,61406.96715182719,108159.18910402969,-46752.2219522025,True
12870051266,5564620678,20717.710980249485,40552.92086928675,-19835.20988903726,True
4876099032,5564620678,53247.64681548579,88864.92282927706,-35617.27601379127,True
5204031319,5564620678,61432.585238636006,110422.51975023361,-48989.9345115976,True
5674302563,5564620678,89126.33407686466,162427.7145582145,-73301.38048134984,True
7858283010,5564620678,54216.5167277562,109001.36550557708,-54784.84877782088,True
9354841428,5564620678,44699.78041338115,72662.15065723118,-27962.370243850026,True
9918479572,5564620678,28323.906366445564,57670.5108374918,-29346.604471046234,True
1794959893,5564620678,98700.83762063413,174178.7022157674,-75477.86459513327,True
12043241157,5564620678,104229.21111880871,216132.1867910742,-111902.97567226549,True
3277536714,5564620678,45496.54492045554,82213.0334238907,-36716.488503435154,True
6163074072,5564620678,71486.20952800913,125976.56813977634,-54490.35861176721,True
4976682638,5564620678,40018.648226631354,70254.36217333424,-30235.71394670289,True
5655074359,5564620678,56004.68818124354,114145.58386866524,-58140.895687421704,True
6685561947,5564620678,52408.55114462363,82806.80924401384,-30398.258099390216,True
9977456404,5564620678,31841.052715589383,60186.387463891704,-28345.33474830232,True
5205612373,5564620678,67858.41115215501,119082.59465791249,-51224.18350575748,True
12361355562,5564620678,59194.82457246186,101109.7847637645,-41914.96019130264,True
7876464348,5564620678,45417.89647209543,84706.16572798755,-39288.26925589212,True
9784804009,5564620678,65071.970250355946,103624.55369987627,-38552.58344952032,True
5606298078,5564620678,45672.72953694666,89119.19565821474,-43446.46612126808,True
10904372221,5564620678,39317.51715387797,72741.91579606458,-33424.398642186614,True
4954632808,5564620678,39413.07721434719,67470.39099314336,-28057.313778796168,True
6059264890,5564620678,9410.991302295595,26325.40123882687,-16914.409936531276,True
4982441082,5564620678,40383.17694927829,76382.59575976044,-35999.41881048215,True
364769719,5564620678,40487.82410392933,66926.23796361512,-26438.41385968579,True
9789699346,5564620678,39489.855927337114,97618.72593780054,-58128.870010463426,True
6646437610,5564620678,56451.98880378705,111971.99972299834,-55520.010919211294,True
5652008686,5564620678,30965.897473690988,62604.4934063713,-31638.595932680313,True
5428816639,5564620678,29253.07956575264,51481.02010012354,-22227.9405343709,True
5652984549,5564620678,40581.14374221263,61403.13715072884,-20821.99340851621,True
9902603413,5564620678,31501.7416152657,56449.80190824919,-24948.06029298349,True
12199373726,5564620678,41190.92353292665,84515.22419175891,-43324.30065883226,True
5093857038,5564620678,63135.24818908994,100766.29775265996,-37631.04956357001,True
5643509623,5564620678,92125.59073498767,200187.740653838,-108062.14991885034,True
5063376601,5564620678,54207.27801801245,94942.52565889142,-40735.24764087897,True
5070835415,5564620678,26028.359508947484,47514.07635324985,-21485.71684430237,True
4537602910,5564620678,22069.966536984535,39973.736599743344,-17903.77006275881,True
13048507783,5564620678,34159.72497152842,68331.34997296026,-34171.62500143184,True
7876536789,5564620678,45851.053433099216,74265.06252071053,-28414.009087611317,True
7858285258,5564620678,48994.82664786569,95352.81763605343,-46357.99098818774,True
6645848685,5564620678,43684.75676945914,77953.84232705529,-34269.08555759615,True
